品类,品牌,产品,规格,爆款香型,天猫挂价,天猫单ml,配赠,天猫销量原始,达播价,抖音单ml,配赠.1,配赠（可带上机制主图）,抖音销量原始,功效词,一句话卖点,详情页宣传（截图）,小红书用户评价,包装图文件名
面护,谷雨,控油修护乳液,80ml,清新雪松木质香调,"原价：¥129
优惠后：¥81.73","原价单ml：¥1.61 /ml
优惠价单ml：¥1.02 /ml",赠男士控油洁面20g,3000+,/,/,/,/,/,控油、祛痘、淡印、修护屏障、补水保湿、舒缓、提亮、改善暗沉,"""男士专研15分钟速效控油祛痘"" —— 专为男性油痘肌及油糙脸设计，解决面部出油旺盛、痘痘反复及痘印暗沉问题，通过三重控油体系与独家极光甘草技术实现快速净痘、淡化痘印与长效哑光控油，兼顾补水舒缓与屏障修护，质地清爽不粘腻。",,【谷雨 控油修护乳液】小红书'油皮天菜''百万推荐'标签热门款，白千控油修护系列单品。好评：8小时持效控油、轻盈不黏腻吸收快、痘痘闭口和毛孔改善反馈集中、含积雪草+甘草酸二钾修护成分、不含酒精香精、敏感肌/孕期可用并有药监局备案。差评/槽点：干皮秋冬使用偏干；外观容量平平价位中等被部分用户认为不算便宜；市面同类白千控油产品多，差异化容易被淹没。,面护_29_bb00c6a906.jpg
面护,柯岸,男士三合一精华乳,50g（1支装/水乳精华三合一）/ 单支装（长效高保湿/50g）/ 1瓶装（诺奖支持 熬夜不垮脸）,/,"原价：¥149
优惠后：¥88.05","原价单g：¥2.98/g
优惠价单g：¥1.76/g",/,6万+,109,¥2.18/ml,无,,2000+,补水、保湿、控油、舒缓、长效水润、抗熬夜、改善暗沉,"""补水保湿长效控油凝乳质地一抹化水"" —— 专为男士熬夜疲惫、油皮缺水困扰设计，解决干燥紧绷、出油暗沉问题，通过华熙生物专利成分实现水乳精华三效合一，达成长效水润与控油兼具的活力肤感。",,"小红书博主反馈是""懒人三合一""代表，凝乳一抹化水补水控油、清爽不油腻，混油、油皮夏天评价最高；¥99/50g定价对男士护肤友好。负面：滋润度对干皮、北方冬季偏不够，需叠加面霜；功效定位偏基础，抗老/淡纹诉求难满足；包装按压头出量不稳定，少数反映用一段时间会有轻微闭口。",面护_30_a34e47d708.jpg
面护,LBR,深海清爽面膜,10片/盒（25ml/片）/ 20片【10片/盒*2】/ 12片【10片/盒+2片】,/,"原价：¥109
优惠后：¥85.9","原价单片：¥10.9/片
优惠价单片：¥8.59/片",单笔实付满200赠吸油纸1盒；单笔实付满400赠香体露60g,7万+,92,¥9.2/片,"满170元赠吸油纸1盒
满340元赠香体露1瓶",,1万+,深补水、强舒缓、清爽控油、保湿、提亮、轻盈水感,"""深补水强舒缓深海精华面膜"" —— 专为缺水疲惫与油皮控油需求设计，解决干燥紧绷、暗沉粗糙问题，通过深海水与昆布藻提取物结合石墨烯促吸收技术实现深层补水与轻盈水感，达成清爽舒缓的肌肤状态。",,"小红书博主反馈""补水+控油""双线面膜思路新颖，敷后水感轻盈、对夏日油腻发热的肌肤有舒缓降温作用，10片装¥85.9性价比可接受。负面：精华液量偏中等不算多；对深层抗皱、美白等强功效需求满足有限；干皮敷完仍需后续乳液锁水；少数反馈面膜布裁剪偏大，鼻翼贴合度欠佳。",面护_31_193db74f2f.jpg
面护,LBR,双重酵母稳肤面霜,50g（舒缓保湿面霜）/ 100g（保湿面霜50g/瓶*2）,/,"原价：¥169
优惠后：¥141.9","原价单g：¥3.38/g
优惠价单g：¥2.84/g",单笔实付满200赠吸油纸1盒；单笔实付满400赠香体露60g,3万+,143,¥2.86/ml,"满170元赠吸油纸1盒
满340元赠香体露1瓶",,1万+,保湿、舒缓、抗皱、紧致、控油、修护屏障,"""一瓶多效油皮稳肤面霜双重酵母"" —— 专为油皮稳肤需求设计，解决出油旺盛、初老纹路与屏障弱化问题，通过双重酵母裂解物实现控油、保湿、舒缓、抗皱、紧致五效合一，达成水油平衡的健康肤质。",,"小红书博主反馈""油皮稳肤面霜""清爽不油腻，质地轻盈水乳化、保湿与抗皱兼具，对25+男士初老需求有可见改善；50g/¥141.9定位中端。负面：滋润度对干皮、北方冬季偏不够，需叠加面油；价格相比国货偏贵；起效需要持续使用至少4周；少数反馈使用初期会有轻微闭口适应期。",面护_32_eda19ee88e.jpg
面护,LBR,水乳套装,260ml【爽肤水140ml+乳液120g】/ 260g【洁面120g+爽肤水140ml】/ 240g【洁面120g+乳液120g】/ 170g【洁面120g+面膜50g】/ 190ml【爽肤水140ml+面膜50g】,/,"原价：¥214
优惠后：¥174.9","原价单ml：¥0.82/ml
优惠价单ml：¥0.67/ml",单笔实付满200赠吸油纸1盒；单笔实付满400赠香体露60g,2万+,181,¥0.70/ml,"满170元赠吸油纸1盒
满340元赠香体露1瓶",,2万+,保湿、控油、补水、舒缓、强韧屏障、滋润,"""轻透爽肤水+清爽劲肤乳液水乳套装"" —— 专为油性肌肤设计，解决干燥紧绷与出油失衡问题，通过保湿舒缓水乳搭配实现深层补水与控油修护，达成水油平衡的清爽肤感。",,"小红书博主称作""男士入门水乳标配""，140ml+120g套装大容量、控油保湿平衡好、清爽不粘腻，¥174.9性价比对男士护肤友好。负面：水乳功效偏基础，针对暗沉、抗皱、美白等高阶诉求需要叠加精华；包装高度偏高浴室收纳不友好；按压泵出量偏大、不易控制；干皮使用反馈需配合面霜锁水。",面护_33_c26a2b80a2.jpg
面护,LBR,轻透爽肤水,140ml（控油、保湿、舒缓）/ 260ml【洁面120g+水140ml】,/,"原价：¥118
优惠后：¥98.9","原价单ml：¥0.84/ml
优惠价单ml：¥0.71/ml",单笔实付满200赠吸油纸1盒；单笔实付满400赠香体露60g,2万+,100,¥0.71/ml,"满170元赠吸油纸1盒
满340元赠香体露1瓶",,7000+,保湿、舒缓、控油、补水、不腻易吸收,"""保湿+舒缓油皮挚爱爽肤水"" —— 专为油性肌肤男士设计，解决干燥缺水与出油不平衡问题，通过红没药醇等舒缓成分实现深层保湿与控油兼具，水润不腻易吸收的清爽肤感。",,"小红书博主评价""红没药醇舒缓+控油保湿""思路对油痘肌友好，质地清爽、易吸收、屏障修护与控油双线兼顾。负面：收敛感对超大油田男士不够；干皮、敏感肌起初使用可能有轻微刺感；瓶身玻璃感重不便携；140ml/¥98.9对照国货品牌定价偏高。",面护_34_305112524b.jpg
面护,LBR,清爽劲肤乳液,120g（控油、保湿、舒缓）,/,"原价：¥126
优惠后：¥105.9","原价单g：¥1.05/g
优惠价单g：¥0.88/g",单笔实付满200赠吸油纸1盒；单笔实付满400赠香体露60g,2万+,107,¥0.89/ml,"满170元赠吸油纸1盒
满340元赠香体露1瓶",,4000+,控油、保湿、舒缓、滋润、清爽不粘腻,"""多效乳液舒缓滋润控油"" —— 专为油皮男士设计，解决出油旺盛与干燥紧绷不平衡问题，通过红没药醇等舒缓成分实现水润保湿与控油兼具，达成清爽不粘腻的肌肤状态。",,"小红书反馈定位为""水乳套装中的乳液款""，质地轻盈、控油保湿表现稳定、夏季油皮夜用反响最好；¥105.9可单买配自己习惯的水。负面：滋润度对干皮、北方冬季偏不足；瓶身没有按压头，老式倒出来不便；功效定位偏基础，抗老/淡纹诉求难满足；少数用户反馈使用一段时间脸颊会出现细小闭口需观察。",面护_35_61e997cc99.jpg
面护,理然,男士面霜,单支装（换季必备 保湿修复）/ 双支装（补水+修护组合）/ 正常规格（清洁+补水组合）/ 一个装（有效补水和修护组合）,/,"原价：¥159.9
优惠后：¥96.87",/（视具体规格而定）,/,3万+,/,/,/,/,/,保湿、舒缓、修护屏障、补水、敏感肌可用、滋润,"""清爽补水保湿多维修护肌肤"" —— 专为敏感肌、屏障受损人群设计，解决干燥紧绷、泛红与敏感不适问题，通过华熙生物创新成分透明质酸锌实现深层补水、强韧屏障与多维修护，达成清爽水润与敏感肌可用的舒缓肤感。",,"小红书博主誉为""理然大白瓶""敏感肌可用面霜，质地清爽水乳化、保湿与舒缓修护双线兼顾，对换季敏感、屏障受损人群恢复快。负面：滋润度对北方冬天干皮偏不够；¥159.9/瓶单价偏贵性价比一般；起效需持续使用至少2-3周；少数反馈气味略带药感不喜的人会觉得不适；瓶口偏大不便携。",面护_36_fcec1c808b.jpg
面护,理然,祛痘精华液,50ml（理然有效护痘肌的精华液）,/,"原价：¥193.9
优惠后：¥154.17","原价单ml：¥3.88/ml
优惠价单ml：¥3.08/ml",/,5000+,/,/,/,/,/,祛痘、控油、修护、舒缓、温和、淡化痘印,"""有效祛痘更温和7天痘痘-47.33%"" —— 专为男士油痘肌、敏感痘肌设计，解决痘痘反复、红肿不退与肌肤敏感问题，通过有效护痘配方实现7天痘痘-47.33%的可见改善，兼顾控油、修护、舒缓多重功效，温和不刺激。",,"小红书博主反馈""7天痘痘-47.33%""宣传比较实，对男士油痘肌、压力痘有可见改善，控油+祛痘+修护+舒缓四效合一思路明确。负面：50ml/¥154单价偏贵性价比一般；对囊肿型痘痘、闭口效果有限，不是医美级别；起效需持续使用至少2周；个别用户反馈使用初期局部会刺痛、需建立耐受；包装按压头出量不易控制。",面护_37_b3686f3803.jpg
面护,毕生之研,五环磨皮调理精华,30ml（五环Air4.0）/ 40ml（五环精华30ml+点痘精华10g）/ 15ml（入门尝鲜推荐）/ 60ml双瓶囤货优选（30ml*2）,/,"原价：¥223
优惠后：¥168.47","原价单ml：¥7.43/ml（30ml）
优惠价单ml：¥5.62/ml（30ml）",会员赠100%正装五环精华4.0 15ml*2；实付满399元送控油粉饼正装,50万+,84,¥5.6/ml,赠五环精华7.5ml,,10万+,磨皮、去闭口、收缩毛孔、改善粗糙、祛痘、控油、温和不刺激、0%果酸/水杨酸,"""五环无酸焕肤4.0细毛孔更透亮"" —— 专为闭口粗糙、毛孔粗大与油痘肌设计，解决闭口反复、粗糙暗沉与毛孔显眼问题，通过0%果酸/水杨酸的温和不刺激配方实现磨皮去闭口、收缩毛孔与祛痘控油的多重功效，达成细致透亮的肌肤状态。",,"小红书博主誉为""国货闭口克星""，0酸2%酶温和不刺激思路新颖、对闭口、毛孔粗大与油痘肌反响最积极，被视作SK-II小灯泡平价替代。负面：单价¥168.47/30ml偏贵、需持续使用至少4周才有可见改善；对囊肿型痘痘、深痘印效果有限；包装滴管头偶尔吸液不稳；干皮单用偏不够保湿，需配合面霜锁水。",面护_38_9a0364b657.jpg
面护,毕生之研,水乳套装,湿敷2件套（五环水300ml+五环乳100g）/ 基础2件套（五环水100ml+五环乳100g）/ 进阶3件套（五环水100ml+五环乳100g+五环精华4.0-30ml）/ 整全4件套（五环水300ml+五环乳100g+五环精华4.0-30ml+酸梅汤面膜5g）,/,"原价：¥199
优惠后：¥148.47",/（套装规格不一）,会员赠4件礼：五环水15ml+五环乳10g+五环精华4.07.5ml+酸梅汤面膜5g；实付满399元送控油粉饼正装,8万+,169,/,五环乳10g×2+五环水15ml×2,,10万+,控油、补水、保湿、祛闭口、修护、温和不酸、0酸2%酶,"""大油皮水乳0油少闭口"" —— 专为大油皮、闭口反复人群设计，解决出油旺盛、闭口顽固与肌肤敏感问题，通过0酸2%酶配方与87%橄榄水/2%PL-Sefling/水解素/PL-Relief油的温和成分实现深层补水、控油净肤与减少闭口的多重功效。",,"小红书博主称作""大油皮水乳天花板""，0酸2%酶配方温和、对大油皮、闭口反复人群效果最好，¥148.47基础2件套被称作国货水乳性价比之选。负面：滋润度对干皮、北方冬季偏不够；价格对学生党仍偏贵；起效需持续使用至少2-3周；少数反馈乳液质地偏稠、用量不易控制；包装高度偏高、浴室收纳不友好。",面护_39_7eb148f3b0.jpg
面护,左颜右色,男士保湿霜,1瓶（男士专研高保湿强锁水/50g）/ 2瓶（第二瓶仅20元/长效保湿）,/,"原价：¥49.9
优惠后：¥38.87","原价单g：¥1.00/g
优惠价单g：¥0.78/g",/,10万+,/,/,/,/,/,保湿、长效保湿、强锁水、清爽好吸收、控油、改善干燥,"""一抹巨保湿清爽好吸收251%保湿率"" —— 专为男士干燥缺水肌肤设计，解决干燥紧绷、吸收不佳问题，通过251%保湿率配方实现深层补水与长效锁水，达成清爽好吸收的水润肤感。",,"小红书博主称作""男士平价保湿天花板""，质地清爽、好吸收、对干皮、混油皮反响积极，¥38.87/50g学生党友好。负面：滋润度对北方冬季、干皮偏不够，需叠加面油；功效定位偏基础，抗老/淡纹诉求难满足；少数反馈使用一段时间会有轻微闭口；包装罐子设计不便携、容易污染。",面护_40_fc0df22e36.jpg
面护,左颜右色,毛孔收缩精华液,30ml（毛孔收缩精华液30ml）/ 80g（毛孔收缩液30ml+保湿霜50g）/ 130（更大套装）,/,"原价：¥79.9
优惠后：¥64.37","原价单ml：¥2.66/ml
优惠价单ml：¥2.15/ml",/,10万+,44.5,¥1.48 /ml,/,,1万+,收缩毛孔、控油、补水、提亮、改善粗糙、横扫油痘肌,"""收缩粗毛孔横扫油痘肌"" —— 专为油痘肌、毛孔粗大男士设计，解决毛孔显眼、出油旺盛与缺水暗沉问题，通过特殊配方实现含水量提升+8.66%、毛孔面积减少-19.53%、毛孔直径缩小-17.86%的可见改善。",,"小红书博主誉为""男士面部精华榜第2名""，毛孔收缩+控油思路对油痘肌反响最好，宣传数据可见改善，¥64.37/30ml价格中等。负面：单一精华功效偏窄、对全套护肤需求满足有限；起效需持续使用至少4周；对重度毛孔粗大、深痘印效果有限；少数反馈滴管头偶尔吸液不稳。",面护_41_25ea4fe73a.jpg
面护,左颜右色,补水保湿面霜,单支装（男士护肤品第一/清爽不油）/ 2瓶装（超95%用户选择/1抹全天保湿）/ 双支装（荣登3大天猫榜单/7天试用）,/,"原价：¥49.9
优惠后：¥38.87","原价单g：约¥1.00/g
优惠价单g：约¥0.78/g",/,10万+,34.95,¥0.69/ml,"氨基酸面霜50g*2+
氨基酸面霜小样3g*4",,29.6万+,保湿、控油、清爽、长效水润、改善出油、化水质地,"""1抹化水巨保湿控油超清爽23倍保湿力"" —— 专为男士出油干燥不平衡肤质设计，解决干燥缺水与油光满面问题，通过23倍保湿力配方实现保湿+227.05%、出油量-81.07%的可见改善，达成全天清爽水润肤感。",,"小红书博主誉为""男士面霜回购榜第16名""，1抹化水质地、清爽不油、对油皮、混油皮反响最积极，全网爆卖100万+性价比突出。负面：滋润度对北方冬季、干皮偏不够；¥38.87低价定位被部分用户质疑配方简单；少数反馈使用一段时间脸颊会出现细小闭口；包装泵头偶尔卡顿。",面护_42_54559dc02f.jpg
面护,蓝系,咖啡因熬夜精华眼棒2.0,7.5g（单支装经典眼棒）/ 黑金眼棒（正常规格）,/,"原价：¥89
优惠后：¥71.07","原价单g：¥11.87/g
优惠价单g：¥9.48/g",买就送保湿面膜1片；会员赠¥10会员专享券+洁面乳1支；消费满159加赠,4000+,79,10.5/g,/,/,21.5万+,淡化黑眼圈、保湿、舒缓、抗皱、淡纹、改善熬夜眼周,"""早晚一笔改善熊猫眼""—— 专为熬夜男士眼周困扰设计，解决黑眼圈、眼袋与细纹问题，通过咖啡因+保湿+舒缓+抗皱配方实现MCTC真人实测100%去除色素沉淀、明显淡化黑眼圈，达成早晚一笔即用的便捷眼部抗熬夜方案。",,"小红书博主誉为""咖啡因眼棒熬夜党救星""，金属冷感按摩+咖啡因配方对黑眼圈、眼袋与浮肿有可见改善，¥71/7.5g便携、男女通用。负面：单价偏贵；持续使用4周以上才有可见改善；对深层结构性眼袋（脂肪堆积）效果有限；少数反馈金属棒在眼周划过过冷、敏感肌不适；包装容量小、用量耗速快。",面护_43_0c33f12fb9.jpg
素颜霜,朗仕,素颜霜,50ml,/,"原价：¥400
优惠后：¥358.47","原价单ml：¥8/ml 
优惠价单ml：¥7.16/ml",赠多功能洁面30ml+蓝宝瓶充能水30ml,1万5+,/,/,/,/,/,匀亮、遮瑕、保湿、自然提亮、隐匿毛孔、舒润,"""男士专研自然修容"" —— 专为男性肌肤设计，解决肤色暗沉、瑕疵明显及上妆厚重问题，通过护肤级柔光科技实现轻透自然的遮瑕与匀亮，达到无妆感的自然好气色，同时兼顾保湿舒润。",,"男生素颜霜里属于""自然不假白""代表，提亮+遮瑕泛红效果被夸真实，质地清爽哑光、油皮上脸不糊；可水洗免卸。负面声音主要是持妆只有4-5小时，T区夏天易脱妆需补散粉；干皮直接上会卡纹，需先做保湿打底；50ml ¥358单价偏高，被认为不如平价男士BB划算。",素颜霜_2_f76e20fe5c.jpg
素颜霜,海洋至尊,控油哑光霜,50g（1支装）/ 双支装,/,原价：¥59.9 / 优惠后：¥46.37,原价单g：¥1.20/g / 优惠价单g：¥0.93/g,入会加赠：吸油纸*1盒+全能乳小样*1+洁面露小样*1；拍即赠：洁面露小样*3,5万+,/,/,/,/,176,控油、补水、保湿、祛痘、淡印、净痘,"""一瓶多效直击干油痘"" —— 专为男士水油失衡的混油痘肌设计，解决面部油光、闭口痘与皮肤粗糙问题，通过蓝藻水律控油科技实现控油补水、轻透保湿、祛痘褪印，呈现清爽哑光肤感。",,"性价比是这款最大的标签，¥46价位、油皮男生口碑不错，上脸有明显哑光感，T区出油控制肉眼可见，毛孔视觉变细，含蓝藻发酵成分，夏天通勤党反复回购。差评主要是""哑光=略干""，干皮和混干用完会卡纹起屑，需要先打底；冬天不适合单用；部分用户反映膏体偏厚推开费劲，吸收前会有短暂泛白；香味也有人觉得偏男士古龙调略冲。",素颜霜_3_3a09b99e87.jpg
素颜霜,海洋至尊,控油自然素颜霜,50g（1支装）/ 双支装,/,原价：¥123 / 优惠后：¥75.01,原价单g：¥2.46/g / 优惠价单g：¥1.50/g,入会至高6件礼：多效乳3g+洗面露3g+冰沙霜3g等；颜色：原生自然色/阳光小麦色/偏肤色,20万+,79,¥1.58/ml,洁面露3g*2+多效乳3g*1,,37.6万,匀亮、自然提亮、遮瑕、防水、防蹭、控油持妆、轻薄服帖,"""自然好气色遮瑕不假白"" —— 专为男士肤色不均、瑕疵显眼困扰设计，解决暗沉、毛孔与痘印瑕疵问题，通过3种色号定制与防水防蹭配方实现自然提亮、有效遮瑕，达成轻薄服帖的零妆感肤色。",,"男士伪素颜赛道里讨论度较高的一款，笔记好评多在""不假白、提亮一档、肤色看起来更干净""，对鼻翼泛红和淡痘印有约6-7成遮瑕，控油持久度尚可，全脸均匀不像戴面具，上班/约会被夸""气色好""。差评主要是色号偏少、深肤色容易显灰；油皮夏天后期会暗沉返油；遮严重痘印和黑眼圈不够；个别用户反馈卸妆不彻底会闷痘。",素颜霜_4_651c37cd03.jpg
素颜霜,海洋至尊,晶透水光美白素颜霜,35g（1支装）/ 套装,/,原价：¥98.9 / 优惠后：¥77.47,原价单g：¥2.83/g / 优惠价单g：¥2.21/g,入会加赠：全能乳小样*1+洁面露小样*1+冰沙霜小样*1；新会员拍1套到手4件,2万+,/,/,/,/,/,美白、淡斑、提亮、自然亮肤、遮盖痘印、丝滑成妆、防水防汗,"""10S快上妆自然0妆感28天美白淡斑"" —— 专为男士底妆顾虑与暗黄瑕疵肌设计，解决怕麻烦、怕妆效假、怕大油田与笔挺不住等四大痛点，通过99%烟酰胺与水光美白科技实现亮肤不假白、养肤内源生、水润不卡纹的原生零妆感。",,"定位""水光提亮""，好评点是上脸有微微珠光、显气色，含烟酰胺类成分长期用感觉肤色更均匀，质地比哑光款更润，干皮和混干接受度更高，约会场景出片好看。差评集中在""水光=容易出油反光""，油皮夏天用半天就泛油光像出汗；35g容量在素颜霜里偏小、单价不便宜；部分用户觉得""美白""主要靠物理提亮而非真正变白；浅色号对深肤色不友好。",素颜霜_5_48d054dc4b.jpg
素颜霜,海洋至尊,控油遮瑕素颜霜（新品）,30g（1支装）/ 套装,/,原价：¥98.8 / 优惠后：¥66.02,原价单g：¥3.29/g / 优惠价单g：¥2.20/g,入会至高7件礼：多效乳3g+洗面露3g+冰沙霜3g等；下拉入会抢人才补贴大额券,7000+（新品）,59.9,¥2/ml,无,,3.4万,控油持妆、遮瑕、自然提亮、隐匿瑕疵,"""偷懒式变帅10秒零妆感伪素颜"" —— 专为熬夜暗沉、油田瑕疵的男性设计，解决肤色暗沉、毛孔粗大与痘印瑕疵问题，通过黑魔方修颜科技实现自然肤色不假白、近距离无妆感、12H控油持妆的伪素颜效果。",,"作为新品在小红书有一批男士博主测评，""黑魔方""包装识别度高，遮瑕力被认为是海洋至尊素颜霜里较强的一款，痘印、毛孔、鼻翼红可遮约6-7成，控油持续3-4小时，膏体细腻不卡粉。争议点是30g装¥66偏贵、用量不省；遮瑕强=厚重感略明显，干皮容易卡在法令纹；色号选择少、白皮可能略深；也有黑猫投诉提到宣传遮痘印效果与实际有落差。",素颜霜_6_081054054b.jpg
素颜霜,谷雨,控油焕亮素颜霜,50g,/,"原价：¥89
优惠后：¥61.35","原价单g：¥1.78 /g
优惠价单g：¥1.23 /g",赠5g随行装,4000+,69,¥1.38/ml,送男士素颜霜5g,,3000+,遮瑕、提亮、控油、保湿、舒缓、防水防汗、持妆,"""男士专研徒手速提亮"" —— 专为追求自然妆感的男士设计，解决面部暗沉、瑕疵及肤色不均问题，通过微米级质地与调色技术实现轻松上妆、自然遮瑕与即时提亮，达成裸感不假白的健康肤质。",,【谷雨 控油焕亮素颜霜】小红书测评多与'白千松露控油修护轻颜霜'或男士素颜霜混用，主打提亮+控油+轻颜+遮瑕。好评：奶霜慕斯质地推开即融、不卡粉不搓泥、自然提亮一两个色号不假白、混油/敏感肌可用、能淡淡遮毛孔。差评/争议：油田T区夏季会闷痘/搓泥；素颜霜遮瑕力有限不能替代底妆；部分用户反馈'假白'或与本身肤色不贴合；持妆能力一般，需配合定妆。,素颜霜_7_21028c6db4.jpg
素颜霜,绿所,原初修颜乳（素颜霜）,30g,皓白00、本真01、金麦02、琥珀03,"原价：¥129
优惠后：¥90.9","原价单g：¥4.30/g
优惠价单g：¥3.03/g",/,8万+,95,¥3.17/ml,赠同款修颜乳中样5ml*2+绿所氨心洁面乳30g*1+试色卡三联包*1,,30万+,匀亮、遮瑕、保湿、控油、提亮、自然贴肤,"""无感化理容底妆原相机直拍"" —— 专为男女通用素颜需求设计，解决肤色不均、瑕疵明显与妆感厚重问题，通过四种色号匹配与四大专利成分实现保湿控油兼具、贴近自然本色的轻盈乳液质地，达成原相机直拍也能成就第一印象的自然底妆效果。",,"小红书博主评价为""男生底妆入门首选""，自然好上手、不假白、控油持妆约6小时表现稳定，遮瑕力中等可叠涂修饰痘印；性价比相对左颜右色更高级一档。负面反馈：干皮直接用会卡粉起皮，需先打底妆前乳；金麦色号偏深需注意试色；个别用户反馈对闭口和大瑕疵遮盖不够，且按压头出胶量难控制易浪费。",素颜霜_8_09ba7d92ee.jpg
素颜霜,绿所,轻雾修颜乳,30g,皓白00、本真01、金麦02、琥珀03,"原价：¥169
优惠后：¥117.9","原价单g：¥5.63/g
优惠价单g：¥3.93/g",/,1万+,122,¥4.06/ml,赠同款修颜乳中样5ml*2+试色卡三联包*1,,1万+,遮瑕、控油、持妆、雾面、提亮、保湿,"""无感化理容轻雾持妆"" —— 专为通勤、会议、社交、拍照场景设计，解决出汗、油光、摩擦下底妆卡粉斑驳、出油暗沉、假面假白等失控问题，通过轻雾质地与控油成膜技术实现持久不脱妆、雾面服帖与自然遮瑕的全天候底妆体验。",,"小红书反馈定位为""原初修颜乳进阶版""，雾面持妆显著优于轻乳款、更适合上镜与社交拍照，肤感不油不假面、08小时挑战不脱妆；混油皮、油痘肌评价最积极。负面：上脸略干需配合保湿乳/喷雾，干皮慎入；价格¥117偏贵小贵；皓白00色号偏白需混色使用；少数反映成膜后久了会有微微紧绷感、近距离能看到细微哑光纹理。",素颜霜_9_554f44bff4.jpg
素颜霜,柯岸,自然轻感无瑕修颜乳,50g（单支装）/ 两支装（自然色+肤色）,003肤色、白皮哑光色、自然色、深肤色,"原价：¥89
优惠后：¥42.35","原价单g：¥1.78/g
优惠价单g：¥0.85/g",/,6万+,49,¥1.63/ml,修颜乳肤色2g*1+自然色2g*1,,10万+,遮瑕、自然提亮、控油、保湿、轻薄服帖、匀亮肤色,"""陈圆圆同款自然遮瑕痘印素颜霜"" —— 专为男士肤色不均、痘印瑕疵困扰设计，解决暗沉、毛孔与痘印问题，通过3种色号匹配实现轻薄哑光与自然遮瑕，达成无妆感的好肤色。",,"小红书博主誉为""陈圆圆同款""自然系男士BB霜，遮瑕能力中等、上脸不假面、控油持妆约6小时表现稳定；003自然色覆盖度好，被称作""男生底妆口粮款""。负面：偏黄皮上脸略发灰需混色；干皮直接用易卡粉起皮要叠保湿；遮瑕力对深痘印、闭口效果有限，痘肌严重者需配合遮瑕笔。",素颜霜_10_96547c3e60.jpg
素颜霜,LBR,多效遮瑕修颜霜,#3号修颜霜48g（适合黄黑皮肤）/ #3号修颜霜48g+控油洁面120g套装/ #1号清透素颜霜50g（适合黄黑皮肤）/ #2号裸肌素颜霜50g（适合白皙皮肤）/ 修颜霜48g+旅行装2g,#1号清透色（适合黄黑皮肤）、#2号裸肌色（适合白皙皮肤）、#3号修颜色（适合黄黑皮肤）,"原价：¥100
优惠后：¥78.9","原价单g：¥2.08/g
优惠价单g：¥1.64/g",单笔实付满200赠吸油纸1盒；单笔实付满400赠香体露60g,5万+,85,¥1.77/ml,"满170元赠吸油纸1盒
满340元赠香体露1瓶",,2万+,遮瑕、自然修饰肤色、保湿、提亮、裸妆感、控油,"""多效素颜霜懒人霜裸妆遮瑕"" —— 专为肤色不均、瑕疵明显困扰的男士设计，解决暗沉、痘印瑕疵问题，通过3种色号匹配不同肤色实现自然修饰与轻薄遮瑕，达成裸妆感的好气色。",,"小红书博主誉为""男士BB霜性价比款""，#3号自然遮瑕反馈最多、伪素颜效果好、控油持妆约5-6h；¥78.9/48g用量大不浪费。负面：色号偏少（仅3号），白皮、肤色偏白男生选不到合适色号；持妆中后期鼻翼T区会浮粉；保湿度对干皮一般，需先打底；包装管设计塑封拆装不便。",素颜霜_11_f3067f30a9.jpg
素颜霜,理然,焕亮理肤素颜乳,自然色50g（单支装）/ 自然色50g*2（控油遮瑕 百搭肤色）,自然色,"原价：¥89.9
秒杀价：¥52.52","原价单g：¥1.80/g
秒杀单g：¥1.05/g",/,20万+,59.9,¥1.19 /ml,/,/,5000+,遮瑕、控油、自然提亮、保湿、易抹易卸不脱妆,"""一抹遮瑕自然控油"" —— 专为追求自然好肤色的男士设计，解决暗沉、瑕疵明显与上妆假白问题，通过透明质酸钠+北美金缕梅水+药蜀葵孔腺萃取的控油保湿配方实现自然遮瑕与轻薄不脱妆，达成不假面的好气色。",,"小红书博主反馈""自然色一抹好肤色""评价积极，质地清爽不假面、控油持妆约5-6h、对暗沉黄皮提亮自然，¥52秒杀价被称作男士BB入门款。负面：色号单一仅自然色，白皮上脸略显黯沉、深肤色覆盖力又不够；遮瑕力对深痘印、闭口效果有限；保湿度对干皮一般，需先打底；50g/¥89.9单价偏贵。",素颜霜_12_6583e58536.jpg
